Lemnosvej 32 1,2300 København S,3.950.000,05-01-2022,88 ,44.886,1914
Halsebyvej 64,4220 Korsør,800.000,05-01-2022,118 ,6.780,1897
Lille Skråvej 3,8960 Randers SØ,464.890,05-01-2022,145 ,3.206,1794
Apotekerbakken 1B,8783 Hornsyld,1.800.000,05-01-2022,236 ,7.627,1961
Klokkens Kvarter 7,5220 Odense SØ,1.500.000,05-01-2022,187 ,8.021,1977
Overbys Allé 1A,2500 Valby,7.550.000,05-01-2022,121 ,62.397,1900
Malden Alle 17,2791 Dragør,3.955.000,04-01-2022,143 ,27.657,1973
Østre Fort-Alle 4,3730 Nexø,700.000,04-01-2022,35 ,20.000,1966
Fladhøjvej 2,6893 Hemmet,2.417.000,04-01-2022,132 ,18.311,1857
Humlevænget 21,5800 Nyborg,800.000,04-01-2022,74 ,10.811,1951
Nyborgvej 54 st. th,5000 Odense C,6.900.000,04-01-2022,70 ,98.571,1918
Nyborgvej 54 st. tv,5000 Odense C,6.900.000,04-01-2022,57 ,121.053,1918
Nyborgvej 54 kl. th,5000 Odense C,6.900.000,04-01-2022,59 ,116.949,1918
Nyborgvej 54 1. tv,5000 Odense C,6.900.000,04-01-2022,57 ,121.053,1918
Nyborgvej 54 2,5000 Odense C,6.900.000,04-01-2022,106 ,65.094,1918
Nyborgvej 54 1. th,5000 Odense C,6.900.000,04-01-2022,70 ,98.571,1918
Nyborgvej 54 kl. tv,5000 Odense C,6.900.000,04-01-2022,57 ,121.053,1918
Ørslevklostervej 162,7840 Højslev,400.000,04-01-2022,147 ,2.721,1926
Byvejen 14,6950 Ringkøbing,725.000,04-01-2022,117 ,6.197,1966
Bjerghuse 44,6990 Ulfborg,200.000,04-01-2022,70 ,2.857,1933
Havevej 34,4700 Næstved,2.000.000,04-01-2022,132 ,15.152,1962
Birknæsvej 19,8752 Østbirk,4.150.000,04-01-2022,239 ,17.364,1911
Ndr. Strandvej 3I st,8400 Ebeltoft,2.100.000,04-01-2022,105 ,20.000,2004
Kirkevej 55,4900 Nakskov,500.000,04-01-2022,150 ,3.333,1877
Bækkebo 16,2870 Dyssegård,7.920.000,04-01-2022,111 ,71.351,1930
Lillegårds Alle 83,2860 Søborg,3.575.000,04-01-2022,106 ,33.726,1932
Dannevang 411,3480 Fredensborg,2.900.000,04-01-2022,118 ,24.576,1980
Solgårdsvej 11,7800 Skive,200.000,04-01-2022,86 ,2.326,1900
Fuglegårdsvænget 85 st. th,2820 Gentofte,1.850.000,04-01-2022,54 ,34.259,1936
Vester Søgade 24 1. tv,1601 København V,3.400.000,04-01-2022,102 ,33.333,1974
Plantevej 17 1. th,2870 Dyssegård,2.100.000,04-01-2022,58 ,36.207,1938
Kulsøvej 7,7323 Give,495.652,04-01-2022,173 ,2.865,1900
Skovgårdskrogen 14,3460 Birkerød,4.995.000,04-01-2022,122 ,40.943,1960
Højlund 73,6400 Sønderborg,1.435.000,04-01-2022,151 ,9.503,1978
Sundbrovej 26,5700 Svendborg,422.510,04-01-2022,110 ,3.841,1873
Stolt Henriksvej 71,4873 Væggerløse,922.500,04-01-2022,82 ,11.250,1978
Klevevej 26,6950 Ringkøbing,1.166.667,04-01-2022,240 ,4.861,0
Klevevej 26,6950 Ringkøbing,1.166.667,04-01-2022,152 ,7.675,1827
Lee Byvej 42,8850 Bjerringbro,10.000,04-01-2022,121 ,83,1937
Brøddegade 31,3760 Gudhjem,13.000.000,04-01-2022,103 ,126.214,1938
Rønnevangen 185K,8471 Sabro,27.200.000,04-01-2022,120 ,226.667,2021
Rønnevangen 185G,8471 Sabro,27.200.000,04-01-2022,125 ,217.600,2021
Rønnevangen 185F,8471 Sabro,27.200.000,04-01-2022,124 ,219.355,2021
Rønnevangen 185C,8471 Sabro,27.200.000,04-01-2022,124 ,219.355,2021
Rønnevangen 185L,8471 Sabro,27.200.000,04-01-2022,125 ,217.600,2021
Rønnevangen 185A,8471 Sabro,27.200.000,04-01-2022,125 ,217.600,2021
